ID,MW
80197,194.0573602
80198,277.2036305
80199,301.2975309
80200,157.1097301
80201,157.1097301
80202,402.2975905
80203,174.1151498
80204,197.1774157
80205,402.2975905
80206,250.1199604
80207,194.0573602
80208,284.2822152
80209,201.2087159
80210,336.1567399
80211,280.0941396
80212,169.1097301
80213,250.1774753
80214,179.1182002
80215,273.2662307
80216,253.240016
80217,195.1253802
80218,320.1982108
80219,258.1825607
80220,129.151201
80221,68.03689952
80222,45.05730061
80224,167.0729507
80225,118.0525496
80226,719.9994514
80227,239.9877838
80228,318.0886603
80229,194.0573602
80230,345.0365214
80231,217.1461156
80232,248.0614
80233,171.0348509
80234,171.0348509
80235,312.1356105
80236,191.1668511
80237,218.1794035
80238,278.0855031
80239,180.0417101
80240,375.1395863
80241,100.0631143
80242,88.06311426
80244,216.033644
80245,247.1566803
80246,252.089329
80247,240.0884735
80248,292.0973069
80249,435.9381578
80250,134.0937457
80251,283.133358
80252,205.1308595
80253,408.2870258
80254,292.0941396
80255,340.0788835
80256,412.1202661
80257,358.1774753
80258,376.1435884
80259,340.1669107
80260,362.3026758
80261,320.194188
80262,252.0230964
80263,241.2764015
80264,185.2138013
80265,213.2451014
80266,257.2713161
